Conta:;11392 - 2.1.1.01.001 - A 2 F INDUSTRIA FARMACEUTICA LTDA;;;;;
;Saldo Anterior;;;;;4.356,80C
03/01/2024;PAGAMENTO DUPLICATA Nº 10680 ;72;0124-00003311;1.452,28;;2.904,52C
02/02/2024;PAGAMENTO DUPLICATA Nº 10680 ;72;0224-00002993;1.452,26;;1.452,26C
03/03/2024;PAGAMENTO DUPLICATA Nº 10680 ;72;0324-00002954;1.452,26;;0,00C
28/03/2024;NOTA FISCAL Nº 11978 ;5782;0324-00000667;;2.849,00;2.849,00C
17/04/2024;NOTA FISCAL Nº 12326 ;5782;0424-00000613;;15.798,40;18.647,40C
21/04/2024;PAGAMENTO DUPLICATA Nº 11978 ;72;0424-00003285;712,25;;17.935,15C
07/05/2024;NOTA FISCAL Nº 12737 ;5782;0524-00000571;;1.320,00;19.255,15C
09/05/2024;NOTA FISCAL Nº 12638 ;5782;0524-00000572;;10.780,00;30.035,15C
09/05/2024;PAGAMENTO DUPLICATA Nº 12326 ;72;0524-00003248;3.949,60;;26.085,55C
21/05/2024;PAGAMENTO DUPLICATA Nº 11978 ;72;0524-00003350;712,25;;25.373,30C
25/05/2024;PAGAMENTO DUPLICATA Nº 12638 ;72;0524-00002952;2.695,00;;22.678,30C
26/05/2024;PAGAMENTO DUPLICATA Nº 12737 ;72;0524-00002939;330,00;;22.348,30C
08/06/2024;PAGAMENTO DUPLICATA Nº 12326 ;72;0624-00003117;3.949,60;;18.398,70C
20/06/2024;PAGAMENTO DUPLICATA Nº 11978 ;72;0624-00003264;712,25;;17.686,45C
24/06/2024;PAGAMENTO DUPLICATA Nº 12638 ;72;0624-00002752;2.695,00;;14.991,45C
25/06/2024;PAGAMENTO DUPLICATA Nº 12737 ;72;0624-00002742;330;;14.661,45C
08/07/2024;PAGAMENTO DUPLICATA Nº 12326 ;72;0724-00003163;3.949,60;;10.711,85C
20/07/2024;PAGAMENTO DUPLICATA Nº 11978 ;72;0724-00003285;712,25;;9.999,60C
24/07/2024;PAGAMENTO DUPLICATA Nº 12638 ;72;0724-00002835;2.695,00;;7.304,60C
25/07/2024;PAGAMENTO DUPLICATA Nº 12737 ;72;0724-00002824;330,00;;6.974,60C
07/08/2024;NOTA FISCAL Nº 15175 ;5782;0824-00000676;;27.115,20;34.089,80C
07/08/2024;PAGAMENTO DUPLICATA Nº 12326 ;72;0824-00004074;3.949,60;;30.140,20C
23/08/2024;PAGAMENTO DUPLICATA Nº 12638 ;72;0824-00003722;2.695,00;;27.445,20C
24/08/2024;PAGAMENTO DUPLICATA Nº 12737 ;72;0824-00003711;330,00;;27.115,20C
28/08/2024;PAGAMENTO DUPLICATA Nº 15175 ;72;0824-00004253;9.038,42;;18.076,78C
27/09/2024;PAGAMENTO DUPLICATA Nº 15175 ;72;0924-00004349;9.038,39;;9.038,39C
28/10/2024;PAGAMENTO DUPLICATA Nº 15175 ;72;1024-00003577;9.038,39;;0,00C
;;;;;;
Conta:;11446 - 2.1.1.01.001 - ABS TINTAS;;;;;
16/08/2024;NOTA FISCAL Nº 959 ;3985;0824-00000001;;448,00;448,00C
03/09/2024;PAGAMENTO NOTA FISCAL Nº 959 ;72;0924-00011319;448,00;;0,00C
04/11/2024;NOTA FISCAL Nº 1086 ;3985;1124-00000002;;891,9;891,90C
;;;;;;
Conta:;11245 - 2.1.1.01.001 - ACCUMED PRODUTOS MED.HOSPITALARES LTDA;;;;;
;Saldo Anterior;;;;;13.631,44C
05/01/2024;PAGAMENTO DUPLICATA Nº 38884 ;72;0124-00003535;4.975,72;;8.655,72C
14/01/2024;PAGAMENTO DUPLICATA Nº 44818 ;72;0124-00006187;920;;7.735,72C
25/01/2024;PAGAMENTO DUPLICATA Nº 38884 ;72;0124-00003536;4.975,72;;2.760,00C
26/01/2024;PAGAMENTO DUPLICATA Nº 44818 ;72;0124-00006300;920;;1.840,00C
05/02/2024;PAGAMENTO DUPLICATA Nº 44818 ;72;0224-00005289;920;;920,00C
13/02/2024;PAGAMENTO DUPLICATA Nº 44818 ;72;0224-00005353;920;;0,00C
16/02/2024;NOTA FISCAL Nº 50795 ;5782;0224-00000837;;1.851,60;1.851,60C
16/02/2024;NOTA FISCAL Nº 50795 ;5782;0224-00000838;;4,31;1.855,91C
08/03/2024;PAGAMENTO DUPLICATA Nº 50795 ;72;0324-00003206;618,71;;1.237,20C
15/03/2024;PAGAMENTO DUPLICATA Nº 50795 ;72;0324-00003204;618,5;;618,70C
22/03/2024;PAGAMENTO DUPLICATA Nº 50795 ;72;0324-00003205;618,7;;0,00C
26/03/2024;NOTA FISCAL Nº 55683 ;5782;0324-00000668;;1.072,72;1.072,72C
26/03/2024;NOTA FISCAL Nº 55683 ;5782;0324-00000669;;2.136,17;3.208,89C
15/04/2024;PAGAMENTO DUPLICATA Nº 55683 ;72;0424-00005653;855,09;;2.353,80C
22/04/2024;PAGAMENTO DUPLICATA Nº 55683 ;72;0424-00005708;784,6;;1.569,20C
24/04/2024;NOTA FISCAL Nº 60532 ;5782;0424-00000614;;5.553,76;7.122,96C
24/04/2024;NOTA FISCAL Nº 60532 ;5782;0424-00000615;;1.086,14;8.209,10C
29/04/2024;PAGAMENTO DUPLICATA Nº 55683 ;72;0424-00005731;784,6;;7.424,50C
06/05/2024;PAGAMENTO DUPLICATA Nº 55683 ;72;0524-00005860;784,6;;6.639,90C
14/05/2024;NOTA FISCAL Nº 63422 ;5782;0524-00000573;;959,58;7.599,48C
14/05/2024;NOTA FISCAL Nº 63422 ;5782;0524-00000574;;3.284,78;10.884,26C
15/05/2024;PAGAMENTO DUPLICATA Nº 60532 ;72;0524-00003032;1.393,98;;9.490,28C
22/05/2024;PAGAMENTO DUPLICATA Nº 60532 ;72;0524-00003021;1.311,48;;8.178,80C
29/05/2024;PAGAMENTO DUPLICATA Nº 60532 ;72;0524-00003022;1.311,48;;6.867,32C
05/06/2024;PAGAMENTO DUPLICATA Nº 63422 ;72;0624-00002794;1.122,41;;5.744,91C
05/06/2024;PAGAMENTO DUPLICATA Nº 60532 ;72;0624-00002827;1.311,48;;4.433,43C
12/06/2024;NOTA FISCAL Nº 68471 ;5782;0624-00000440;;3.282,02;7.715,45C
12/06/2024;NOTA FISCAL Nº 68471 ;5782;0624-00000441;;2.220,24;9.935,69C
12/06/2024;PAGAMENTO DUPLICATA Nº 60532 ;72;0624-00002828;1.311,48;;8.624,21C
15/06/2024;PAGAMENTO DUPLICATA Nº 63422 ;72;0624-00002779;1.040,65;;7.583,56C
25/06/2024;PAGAMENTO DUPLICATA Nº 63422 ;72;0624-00002780;1.040,65;;6.542,91C
05/07/2024;PAGAMENTO DUPLICATA Nº 63422 ;72;0724-00002847;1.040,65;;5.502,26C
05/07/2024;PAGAMENTO DUPLICATA Nº 68471 ;72;0724-00002898;1.466,14;;4.036,12C
15/07/2024;PAGAMENTO DUPLICATA Nº 68471 ;72;0724-00002884;1.345,38;;2.690,74C
19/07/2024;NOTA FISCAL Nº 611960 ;5782;0724-00000556;;1.533,82;4.224,56C
19/07/2024;NOTA FISCAL Nº 611960 ;5782;0724-00000557;;3.423,73;7.648,29C
25/07/2024;PAGAMENTO DUPLICATA Nº 68471 ;72;0724-00002885;1.345,38;;6.302,91C
04/08/2024;PAGAMENTO DUPLICATA Nº 68471 ;72;0824-00003782;1.345,36;;4.957,55C
06/08/2024;PAGAMENTO DUPLICATA Nº 611960 ;72;0824-00003734;1.056,59;;3.900,96C
13/08/2024;PAGAMENTO DUPLICATA Nº 611960 ;72;0824-00004265;975,24;;2.925,72C
19/08/2024;NOTA FISCAL Nº 617452 ;5782;0824-00000677;;2.521,93;5.447,65C
19/08/2024;NOTA FISCAL Nº 617452 ;5782;0824-00000678;;3.689,90;9.137,55C
20/08/2024;PAGAMENTO DUPLICATA Nº 611960 ;72;0824-00004266;975,24;;8.162,31C
27/08/2024;PAGAMENTO DUPLICATA Nº 611960 ;72;0824-00004267;975,24;;7.187,07C
03/09/2024;PAGAMENTO DUPLICATA Nº 611960 ;72;0924-00004366;975,24;;6.211,83C
04/09/2024;PAGAMENTO DUPLICATA Nº 617452 ;72;0924-00003979;1.667,88;;4.543,95C
14/09/2024;PAGAMENTO DUPLICATA Nº 617452 ;72;0924-00003958;1.514,65;;3.029,30C
24/09/2024;NOTA FISCAL Nº 625491 ;5782;0924-00000548;;1.749,12;4.778,42C
24/09/2024;NOTA FISCAL Nº 625491 ;5782;0924-00000549;;3.726,14;8.504,56C
24/09/2024;PAGAMENTO DUPLICATA Nº 617452 ; ;0924-00009475;1.514,65;;6.989,91C
27/09/2024;PAGAMENTO DUPLICATA Nº 625491 ;72;0924-00003937;1.342,58;;5.647,33C
27/09/2024;PAGAMENTO DUPLICATA Nº 625491 ;72;0924-00003950;1.447,54;;4.199,79C
04/10/2024;PAGAMENTO DUPLICATA Nº 617452 ; ;1024-00005533;1.514,65;;2.685,14C
18/10/2024;NOTA FISCAL Nº 631926 ;5782;1024-00000571;;865;3.550,14C
18/10/2024;NOTA FISCAL Nº 631926 ;5782;1024-00000572;;1.651,99;5.202,13C
29/10/2024;PAGAMENTO DUPLICATA Nº 625491 ;72;1024-00003247;1.342,58;;3.859,55C
05/11/2024;PAGAMENTO DUPLICATA Nº 625491 ;72;1124-00003101;1.342,56;;2.516,99C
11/11/2024;PAGAMENTO DUPLICATA Nº 631926 ; ;1124-00005422;674,69;;1.842,30C
18/11/2024;NOTA FISCAL Nº 636799 ;5782;1124-00000585;;600,34;2.442,64C
18/11/2024;NOTA FISCAL Nº 636799 ;5782;1124-00000586;;2.779,50;5.222,14C
18/11/2024;PAGAMENTO DUPLICATA Nº 631926 ;72;1124-00003397;614,1;;4.608,04C
25/11/2024;PAGAMENTO DUPLICATA Nº 631926 ;72;1124-00003398;614,10;;3.993,94C
02/12/2024;PAGAMENTO DUPLICATA Nº 631926 ;72;1224-00003365;614,10;;3.379,84C
04/12/2024;PAGAMENTO DUPLICATA Nº 636799 ;72;1224-00003451;871,09;;2.508,75C
11/12/2024;NOTA FISCAL Nº 641150 ;5782;1224-00000597;;2.961,36;5.470,11C
11/12/2024;NOTA FISCAL Nº 641150 ;5782;1224-00000598;;2.800,28;8.270,39C
11/12/2024;PAGAMENTO DUPLICATA Nº 636799 ;72;1224-00003431;836,25;;7.434,14C
18/12/2024;PAGAMENTO DUPLICATA Nº 636799 ;72;1224-00003432;836,25;;6.597,89C
25/12/2024;PAGAMENTO DUPLICATA Nº 636799 ;72;1224-00003433;836,25;;5.761,64C
;;;;;;
Conta:;11452 - 2.1.1.01.001 - ADAD COMERCIO DISTRIBUICAO E IMPORTACAO LTDA;;;;;
29/04/2024;NOTA FISCAL Nº 67603 ;3985;0424-00000004;;37,99;37,99C
06/05/2024;PAGAMENTO NOTA FISCAL Nº 67603 ;72;0524-00006427;37,99;;0,00C
01/06/2024;NOTA FISCAL Nº 70325 ;3985;0624-00000004;;37,99;37,99C
17/06/2024;PAGAMENTO NOTA FISCAL Nº 70325 ;72;0624-00006877;37,99;;0,00C
;;;;;;
Conta:;11469 - 2.1.1.01.001 - ADRIANA ASSIS COSTA;;;;;
07/05/2024;NOTA FISCAL Nº 119262 ;3985;0524-00000002;;67,15;67,15C
21/05/2024;PAGAMENTO NOTA FISCAL Nº 119262 ;72;0524-00006440;67,15;;0,00C
05/06/2024;NOTA FISCAL Nº 122394 ;3985;0624-00000005;;51,30;51,30C
18/06/2024;PAGAMENTO NOTA FISCAL Nº 122394 ;72;0624-00006878;51,30;;0,00C
;;;;;;
Conta:;7210 - 2.1.1.01.001 - AGN IMP E EXP DE ARTIGOS PARA O LAR LTDA EPP;;;;;
31/12/2024;NOTA FISCAL Nº 15411 ;3152;1224-00000002;;161,94;161,94C
;;;;;;
Conta:;11475 - 2.1.1.01.001 - AGNL COMERCIO DE ALIMENTOS LTDA;;;;;
31/03/2024;NOTA FISCAL Nº 284 ;3152;0324-00000090;;25.533,00;25.533,00C
31/03/2024;NOTA FISCAL Nº 281 ;3152;0324-00000091;;24.210,00;49.743,00C
31/03/2024;NOTA FISCAL Nº 285 ;3152;0324-00000092;;7.161,00;56.904,00C
31/03/2024;NOTA FISCAL Nº 282 ;3152;0324-00000093;;8.593,20;65.497,20C
31/03/2024;NOTA FISCAL Nº 283 ;3152;0324-00000094;;15.500,00;80.997,20C
31/03/2024;NOTA FISCAL Nº 1 ;5782;0324-00000670;;24.210,00;105.207,20C
31/03/2024;NOTA FISCAL Nº 275 ;5782;0324-00000671;;5.728,80;110.936,00C
31/03/2024;NOTA FISCAL Nº 276 ;5782;0324-00000672;;4.542,00;115.478,00C
31/03/2024;NOTA FISCAL Nº 277 ;5782;0324-00000673;;4.542,00;120.020,00C
31/03/2024;NOTA FISCAL Nº 278 ;5782;0324-00000674;;14.322,00;134.342,00C
31/03/2024;NOTA FISCAL Nº 279 ;5782;0324-00000675;;17.022,00;151.364,00C
31/03/2024;NOTA FISCAL Nº 280 ;5782;0324-00000676;;15.500,00;166.864,00C
11/04/2024;NOTA FISCAL Nº 326 ;3152;0424-00000019;;24.210,00;191.074,00C
11/04/2024;NOTA FISCAL Nº 319 ;3152;0424-00000020;;14.322,00;205.396,00C
15/04/2024;NOTA FISCAL Nº 297 ;5782;0424-00000616;;20.052,00;225.448,00C
15/04/2024;NOTA FISCAL Nº 309 ;5782;0424-00000617;;29.788,50;255.236,50C
15/04/2024;NOTA FISCAL Nº 300 ;5782;0424-00000618;;32.280,00;287.516,50C
15/04/2024;NOTA FISCAL Nº 302 ;5782;0424-00000619;;11.355,00;298.871,50C
15/04/2024;NOTA FISCAL Nº 291 ;5782;0424-00000620;;21.483,00;320.354,50C
15/04/2024;NOTA FISCAL Nº 298 ;5782;0424-00000621;;29.788,50;350.143,00C
15/04/2024;NOTA FISCAL Nº 311 ;5782;0424-00000622;;32.280,00;382.423,00C
15/04/2024;NOTA FISCAL Nº 296 ;5782;0424-00000623;;19.788,00;402.211,00C
15/04/2024;NOTA FISCAL Nº 305 ;5782;0424-00000624;;21.483,00;423.694,00C
15/04/2024;NOTA FISCAL Nº 308 ;5782;0424-00000625;;20.052,00;443.746,00C
15/04/2024;NOTA FISCAL Nº 301 ;5782;0424-00000626;;21.483,00;465.229,00C
15/04/2024;NOTA FISCAL Nº 294 ;5782;0424-00000627;;19.962,00;485.191,00C
15/04/2024;NOTA FISCAL Nº 288 ;5782;0424-00000628;;11.355,00;496.546,00C
15/04/2024;NOTA FISCAL Nº 304 ;5782;0424-00000629;;17.902,50;514.448,50C
15/04/2024;NOTA FISCAL Nº 307 ;5782;0424-00000630;;17.988,00;532.436,50C
15/04/2024;NOTA FISCAL Nº 310 ;5782;0424-00000631;;23.250,00;555.686,50C
15/04/2024;NOTA FISCAL Nº 287 ;5782;0424-00000632;;21.483,00;577.169,50C
15/04/2024;NOTA FISCAL Nº 293 ;5782;0424-00000633;;29.205,00;606.374,50C
15/04/2024;NOTA FISCAL Nº 303 ;5782;0424-00000634;;17.032,50;623.407,00C
15/04/2024;NOTA FISCAL Nº 306 ;5782;0424-00000635;;13.517,00;636.924,00C
15/04/2024;NOTA FISCAL Nº 286 ;5782;0424-00000636;;32.280,00;669.204,00C
15/04/2024;NOTA FISCAL Nº 292 ;5782;0424-00000637;;13.517,00;682.721,00C
15/04/2024;NOTA FISCAL Nº 290 ;5782;0424-00000638;;17.902,50;700.623,50C
15/04/2024;NOTA FISCAL Nº 295 ;5782;0424-00000639;;17.988,00;718.611,50C
15/04/2024;NOTA FISCAL Nº 299 ;5782;0424-00000640;;23.250,00;741.861,50C
15/04/2024;NOTA FISCAL Nº 289 ;5782;0424-00000641;;17.032,50;758.894,00C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 1 ; ;0424-00006005;4.842,00;;754.052,00C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 275 ; ;0424-00006008;1.145,76;;752.906,24C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 276 ; ;0424-00006011;908,4;;751.997,84C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 277 ; ;0424-00006014;908,4;;751.089,44C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 278 ; ;0424-00006017;2.864,40;;748.225,04C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 279 ; ;0424-00006020;3.404,40;;744.820,64C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 280 ; ;0424-00006023;3.100,00;;741.720,64C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 281 ; ;0424-00006026;4.842,00;;736.878,64C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 282 ; ;0424-00006029;1.718,64;;735.160,00C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 283 ; ;0424-00006032;3.100,00;;732.060,00C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 284 ; ;0424-00006035;5.106,60;;726.953,40C
15/04/2024;PAGAMENTO NOTA FISCAL Nº 285 ; ;0424-00006038;1.432,20;;725.521,20C
18/04/2024;NOTA FISCAL Nº 327 ;3152;0424-00000005;;25.533,00;751.054,20C
18/04/2024;NOTA FISCAL Nº 325 ;3152;0424-00000006;;8.994,00;760.048,20C
18/04/2024;NOTA FISCAL Nº 324 ;3152;0424-00000007;;10.026,00;770.074,20C
18/04/2024;NOTA FISCAL Nº 323 ;3152;0424-00000008;;9.894,00;779.968,20C
18/04/2024;NOTA FISCAL Nº 322 ;3152;0424-00000009;;9.981,00;789.949,20C
18/04/2024;NOTA FISCAL Nº 321 ;3152;0424-00000010;;9.735,00;799.684,20C
18/04/2024;NOTA FISCAL Nº 320 ;3152;0424-00000011;;13.517,00;813.201,20C
18/04/2024;NOTA FISCAL Nº 318 ;3152;0424-00000012;;25.533,00;838.734,20C
18/04/2024;NOTA FISCAL Nº 317 ;3152;0424-00000013;;14.322,00;853.056,20C
18/04/2024;NOTA FISCAL Nº 316 ;3152;0424-00000014;;23.250,00;876.306,20C
18/04/2024;NOTA FISCAL Nº 315 ;3152;0424-00000015;;11.355,00;887.661,20C
18/04/2024;NOTA FISCAL Nº 314 ;3152;0424-00000016;;11.355,00;899.016,20C
18/04/2024;NOTA FISCAL Nº 313 ;3152;0424-00000017;;14.322,00;913.338,20C
18/04/2024;NOTA FISCAL Nº 312 ;3152;0424-00000018;;24.210,00;937.548,20C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 319 ; ;0424-00006041;2.864,40;;934.683,80C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 326 ; ;0424-00006044;4.842,00;;929.841,80C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 1 ; ;0424-00006047;4.842,00;;924.999,80C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 275 ; ;0424-00006050;1.145,76;;923.854,04C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 276 ; ;0424-00006053;908,40;;922.945,64C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 277 ; ;0424-00006056;908,4;;922.037,24C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 278 ; ;0424-00006059;2.864,40;;919.172,84C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 279 ; ;0424-00006062;3.404,40;;915.768,44C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 280 ; ;0424-00006065;3.100,00;;912.668,44C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 281 ; ;0424-00006068;4.842,00;;907.826,44C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 282 ; ;0424-00006071;1.718,64;;906.107,80C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 283 ; ;0424-00006074;3.100,00;;903.007,80C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 284 ; ;0424-00006077;5.106,60;;897.901,20C
26/04/2024;PAGAMENTO NOTA FISCAL Nº 285 ; ;0424-00006080;1.432,20;;896.469,00C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 286 ; ;0424-00006083;6.456,00;;890.013,00C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 287 ; ;0424-00006086;4.296,60;;885.716,40C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 288 ; ;0424-00006089;2.271,00;;883.445,40C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 289 ; ;0424-00006092;3.406,50;;880.038,90C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 290 ; ;0424-00006095;3.580,50;;876.458,40C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 291 ; ;0424-00006098;4.296,60;;872.161,80C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 292 ; ;0424-00006101;2.703,40;;869.458,40C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 293 ; ;0424-00006104;5.841,00;;863.617,40C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 294 ; ;0424-00006107;3.992,40;;859.625,00C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 295 ; ;0424-00006110;3.597,60;;856.027,40C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 296 ; ;0424-00006113;3.957,60;;852.069,80C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 297 ; ;0424-00006116;4.010,40;;848.059,40C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 298 ; ;0424-00006119;5.957,70;;842.101,70C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 299 ; ;0424-00006122;4.650,00;;837.451,70C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 300 ; ;0424-00006125;6.456,00;;830.995,70C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 301 ; ;0424-00006128;4.296,60;;826.699,10C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 302 ; ;0424-00006131;2.271,00;;824.428,10C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 303 ; ;0424-00006134;3.406,50;;821.021,60C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 304 ; ;0424-00006137;3.580,50;;817.441,10C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 305 ; ;0424-00006140;4.296,60;;813.144,50C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 306 ; ;0424-00006143;2.703,40;;810.441,10C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 307 ; ;0424-00006146;3.597,60;;806.843,50C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 308 ; ;0424-00006149;4.010,40;;802.833,10C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 309 ; ;0424-00006152;5.957,70;;796.875,40C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 310 ; ;0424-00006155;4.650,00;;792.225,40C
30/04/2024;PAGAMENTO NOTA FISCAL Nº 311 ; ;0424-00006158;6.456,00;;785.769,40C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 312 ; ;0524-00006097;4.842,00;;780.927,40C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 313 ; ;0524-00006100;2.864,40;;778.063,00C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 314 ; ;0524-00006103;2.271,00;;775.792,00C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 315 ; ;0524-00006106;2.271,00;;773.521,00C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 316 ; ;0524-00006109;4.650,00;;768.871,00C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 317 ; ;0524-00006112;2.864,40;;766.006,60C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 318 ; ;0524-00006115;5.106,60;;760.900,00C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 320 ; ;0524-00006118;2.703,40;;758.196,60C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 321 ; ;0524-00006121;1.947,00;;756.249,60C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 322 ; ;0524-00006124;1.996,20;;754.253,40C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 323 ; ;0524-00006127;1.978,80;;752.274,60C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 324 ; ;0524-00006130;2.005,20;;750.269,40C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 325 ; ;0524-00006133;1.798,80;;748.470,60C
03/05/2024;PAGAMENTO NOTA FISCAL Nº 327 ; ;0524-00006136;5.106,60;;743.364,00C
07/05/2024;PAGAMENTO NOTA FISCAL Nº 319 ; ;0524-00006139;2.864,40;;740.499,60C
07/05/2024;PAGAMENTO NOTA FISCAL Nº 326 ; ;0524-00006142;4.842,00;;735.657,60C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 286 ; ;0524-00006145;6.456,00;;729.201,60C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 287 ; ;0524-00006148;4.296,60;;724.905,00C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 288 ; ;0524-00006151;2.271,00;;722.634,00C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 289 ; ;0524-00006154;3.406,50;;719.227,50C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 290 ; ;0524-00006157;3.580,50;;715.647,00C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 291 ; ;0524-00006160;4.296,60;;711.350,40C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 292 ; ;0524-00006163;2.703,40;;708.647,00C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 293 ; ;0524-00006166;5.841,00;;702.806,00C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 294 ; ;0524-00006169;3.992,40;;698.813,60C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 295 ; ;0524-00006172;3.597,60;;695.216,00C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 296 ; ;0524-00006175;3.957,60;;691.258,40C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 297 ; ;0524-00006178;4.010,40;;687.248,00C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 298 ; ;0524-00006181;5.957,70;;681.290,30C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 299 ; ;0524-00006184;4.650,00;;676.640,30C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 300 ; ;0524-00006187;6.456,00;;670.184,30C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 301 ; ;0524-00006190;4.296,60;;665.887,70C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 302 ; ;0524-00006193;2.271,00;;663.616,70C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 303 ; ;0524-00006196;3.406,50;;660.210,20C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 304 ; ;0524-00006199;3.580,50;;656.629,70C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 305 ; ;0524-00006202;4.296,60;;652.333,10C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 306 ; ;0524-00006205;2.703,40;;649.629,70C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 307 ; ;0524-00006208;3.597,60;;646.032,10C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 308 ; ;0524-00006211;4.010,40;;642.021,70C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 309 ; ;0524-00006214;5.957,70;;636.064,00C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 310 ; ;0524-00006217;4.650,00;;631.414,00C
11/05/2024;PAGAMENTO NOTA FISCAL Nº 311 ; ;0524-00006220;6.456,00;;624.958,00C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 312 ; ;0524-00006223;4.842,00;;620.116,00C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 313 ; ;0524-00006226;2.864,40;;617.251,60C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 314 ; ;0524-00006229;2.271,00;;614.980,60C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 315 ; ;0524-00006232;2.271,00;;612.709,60C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 316 ; ;0524-00006235;4.650,00;;608.059,60C
